,Date,bitcoin_Price,ethereum_Price,avax_Price,binance_Price,doge_Price,cardano_Price,polkadot_Price,ripple_Price,solana_Price,tron_Price
0,2023-12-25 00:00:00 UTC+0,43621.23769684,2272.94938444,48.29884183,267.15289124,0.09447188,0.62514863,9.21016898,0.64600213,120.93758243,0.10588204
1,2023-12-24 00:00:00 UTC+0,43058.52170383,2268.37086435,47.98272814,264.89464891,0.09192848,0.59351668,8.64919844,0.61385405,112.64213214,0.10645989
2,2023-12-23 00:00:00 UTC+0,43783.23960317,2312.95728084,48.15506382,271.59152898,0.09364503,0.61455018,8.33285312,0.62024503,108.09227368,0.1068649
3,2023-12-22 00:00:00 UTC+0,44021.34762662,2328.08486651,45.46803606,271.48751839,0.09532236,0.62395701,7.97855964,0.62562769,98.07625857,0.10520443
4,2023-12-21 00:00:00 UTC+0,43855.29407399,2238.01842341,46.05043481,271.44595195,0.09499543,0.63615363,8.34314553,0.62346691,93.90169545,0.10465454
5,2023-12-20 00:00:00 UTC+0,43637.57132492,2199.70598555,43.43352678,260.16862921,0.09141702,0.58900567,6.94101439,0.61685987,82.16988724,0.10269378
6,2023-12-19 00:00:00 UTC+0,42275.50383986,2177.7273198,39.79154197,252.05141979,0.09019132,0.57589821,6.71068359,0.60483451,72.75198314,0.1005458
7,2023-12-18 00:00:00 UTC+0,42632.73266441,2216.92108775,41.08250235,241.28191972,0.09200188,0.60096564,6.87650015,0.61236651,74.35797767,0.10089602
8,2023-12-17 00:00:00 UTC+0,41411.57448907,2197.78222701,40.6789566,239.03280888,0.0929601,0.5805048,6.78995002,0.61015031,71.10782207,0.10203936
9,2023-12-16 00:00:00 UTC+0,42235.98564559,2227.34863084,42.05767796,243.97382957,0.09690653,0.60658655,7.08957023,0.619568,73.43650535,0.1027655
10,2023-12-15 00:00:00 UTC+0,42004.56201709,2221.75508269,39.94667458,245.35231882,0.09307947,0.60274666,6.96480452,0.61593559,72.62719904,0.10159249
11,2023-12-14 00:00:00 UTC+0,42991.28627162,2315.9100226,39.2235865,253.20034675,0.09815502,0.6423969,7.52918274,0.63188457,75.64394955,0.10599575
12,2023-12-13 00:00:00 UTC+0,42923.10120576,2261.25409057,39.08529422,252.47229317,0.09645479,0.66390188,7.60483493,0.62804134,70.82208015,0.10425888
13,2023-12-12 00:00:00 UTC+0,41476.77145605,2202.84005826,37.41083768,253.95434321,0.09379306,0.57634621,7.12058478,0.61910106,68.55439373,0.10358952
14,2023-12-11 00:00:00 UTC+0,41225.48142247,2224.31181112,38.34011472,246.27761893,0.09418362,0.55046168,6.70657848,0.62008728,70.33403806,0.10379638
15,2023-12-10 00:00:00 UTC+0,43755.3561639,2352.30058931,37.09894093,239.63456946,0.10180443,0.59431348,7.32459762,0.66139578,74.37967926,0.10776253
16,2023-12-09 00:00:00 UTC+0,43733.83967147,2341.10082008,31.83848816,237.64371102,0.09851958,0.57888128,7.1125396,0.65852431,72.23159764,0.10664255
17,2023-12-08 00:00:00 UTC+0,44214.94326948,2360.04257758,30.68441602,239.01076891,0.10156495,0.54623792,6.84774882,0.67357711,74.94568514,0.10676036
18,2023-12-07 00:00:00 UTC+0,43288.71875992,2357.4275482,26.31361077,232.85989605,0.09593846,0.45658083,6.24512424,0.64351635,67.83410181,0.10425462
19,2023-12-06 00:00:00 UTC+0,43778.36488218,2232.22641581,26.212715,229.73186359,0.09474747,0.44247744,6.04311034,0.64178923,62.09139378,0.10483587
20,2023-12-05 00:00:00 UTC+0,44096.32358612,2294.30085931,24.42824032,231.16493606,0.09416472,0.42556325,5.90796641,0.62176644,60.92899342,0.10360882
21,2023-12-04 00:00:00 UTC+0,41957.25365419,2241.96691937,22.53133677,233.02147565,0.09179116,0.40716923,5.62213223,0.62419945,61.55995417,0.10382389
22,2023-12-03 00:00:00 UTC+0,39996.47041793,2194.32134086,21.97718149,228.20646282,0.08566759,0.39539647,5.54428981,0.6236326,63.04717823,0.10315414
23,2023-12-02 00:00:00 UTC+0,39467.30037236,2165.05498951,22.22456869,229.1901835,0.086316,0.39799979,5.57212809,0.62038706,63.49913518,0.10324016
24,2023-12-01 00:00:00 UTC+0,38701.89109513,2087.8982467,21.84790241,228.64488046,0.08392804,0.38425233,5.47809258,0.61324042,59.78791102,0.10321063
25,2023-11-30 00:00:00 UTC+0,37718.10596955,2052.97522538,21.39381135,227.68270624,0.0834936,0.37601468,5.46658892,0.60639224,59.24721456,0.10350782
26,2023-11-29 00:00:00 UTC+0,37830.71701457,2029.11011782,21.05396432,227.21242348,0.08048037,0.38151214,5.16449118,0.60956354,59.18621886,0.10353249
27,2023-11-28 00:00:00 UTC+0,37828.52478229,2049.09195866,20.67120726,229.58040801,0.08092851,0.38568141,5.27175804,0.6108694,58.19547729,0.1029715
28,2023-11-27 00:00:00 UTC+0,37238.29532681,2027.21296268,20.35348266,227.22727502,0.07866625,0.37779027,5.15990102,0.6035111,55.03944716,0.10206782
29,2023-11-26 00:00:00 UTC+0,37487.8337222,2063.94072511,21.11074048,231.91396337,0.07876711,0.38809208,5.32722751,0.61655834,57.64522901,0.10786588
30,2023-11-25 00:00:00 UTC+0,37803.79641711,2084.54743443,21.26464326,233.83432176,0.07888587,0.39444584,5.32740338,0.62239118,58.79041252,0.10819569
31,2023-11-24 00:00:00 UTC+0,37727.4596745,2081.47421077,20.88383577,232.81774559,0.07815411,0.38615254,5.24314241,0.62203898,56.83001926,0.10463399
32,2023-11-23 00:00:00 UTC+0,37300.04111711,2062.85267458,20.67306277,233.8180361,0.07619799,0.38651056,5.1346854,0.62032401,56.57683969,0.10211756
33,2023-11-22 00:00:00 UTC+0,37436.61532266,2065.83451641,20.82775894,236.27007041,0.07574109,0.3803153,5.17029603,0.61199016,57.5767828,0.10123721
34,2023-11-21 00:00:00 UTC+0,35907.4805761,1940.73567764,19.08892034,227.55965373,0.07218914,0.3589225,4.89503902,0.58130089,52.12893537,0.09630332
35,2023-11-20 00:00:00 UTC+0,37486.11980774,2023.42962804,20.83266647,253.25254084,0.07771603,0.38019406,5.29960611,0.6123897,56.45225339,0.10098383
36,2023-11-19 00:00:00 UTC+0,37446.57401224,2013.39489522,22.92591108,246.75809474,0.08049796,0.38465676,5.44730639,0.62753004,61.50189678,0.10351685
37,2023-11-18 00:00:00 UTC+0,36592.43534726,1963.33428477,22.0201999,245.03657385,0.08023226,0.37745901,5.2947454,0.61113251,58.54165712,0.1030097
38,2023-11-17 00:00:00 UTC+0,36604.91262673,1961.09796826,21.97071894,244.90334907,0.08641387,0.36712776,5.24807571,0.61388493,58.58082452,0.1037992
39,2023-11-16 00:00:00 UTC+0,36196.98708263,1961.00028635,21.63920963,242.83052808,0.0788262,0.37103737,5.3545048,0.61209451,57.79025651,0.10239761
40,2023-11-15 00:00:00 UTC+0,37883.5759767,2059.66784444,20.71502513,253.78218442,0.07630708,0.37899316,5.56326728,0.64842367,65.6159842,0.10417275
41,2023-11-14 00:00:00 UTC+0,35542.16941711,1979.8836061,17.07305053,242.24307491,0.07242249,0.35771479,5.19681923,0.62919858,56.82121438,0.10228026
42,2023-11-13 00:00:00 UTC+0,36487.58734909,2055.01421324,16.16767687,240.85866126,0.07457502,0.35743614,5.35467126,0.67036372,51.68552405,0.10689764
43,2023-11-12 00:00:00 UTC+0,37072.07384165,2046.24479077,18.902008,247.64121629,0.07796401,0.3836993,5.71386082,0.66184924,56.34654841,0.10842485
